t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-75433.08
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,21514.524
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,44382.8944
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,11251.737
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,-64027.5
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-28293.8772
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-13165.8506
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-22806.991
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,-74632.038
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-143430.16
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-74783.3651
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-17754.8412
0,2020-01,12,12_ACC_Cash,Asset,0.0
0,2020-01,13,13_ACC_Raw_Materials,Unknown,0.0
0,2020-01,14,14_ACC_Finished_Goods,Unknown,0.0
0,2020-01,15,15_ACC_Equity_Capital,Equity,0.0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-52222.0257
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,-9748.582
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,62787.6018
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,11013.3702
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,-51845.7947
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-1984.0395
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-30304.9937
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-18149.9704
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,-63801.4518
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-174750.72
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-66004.4179
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-7963.3055
1,2020-02,12,12_ACC_Cash,Asset,0.0
1,2020-02,13,13_ACC_Raw_Materials,Unknown,0.0
1,2020-02,14,14_ACC_Finished_Goods,Unknown,0.0
1,2020-02,15,15_ACC_Equity_Capital,Equity,0.0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-27832.1106
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,-94518.2825
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,91688.0901
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,12541.7849
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,-116641.4201
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,41085.2161
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-20632.5399
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-17821.6408
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,-66520.204
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-150404.45
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-76048.3856
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-7235.6935
2,2020-03,12,12_ACC_Cash,Asset,0.0
2,2020-03,13,13_ACC_Raw_Materials,Unknown,0.0
2,2020-03,14,14_ACC_Finished_Goods,Unknown,0.0
2,2020-03,15,15_ACC_Equity_Capital,Equity,0.0
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-56882.9486
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,-159774.0985
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,Expense,77764.1803
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,Expense,11839.6942
3,2020-04,4,04_ACC_Cash_DPT_Admin,Asset,-55959.4137
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,42049.495
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-9609.6653
